player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType
Donyell Malen,donyell-malen,D. Malen,F,803039,86.1,57.3,False,goal,fast-break,right-foot,low-left,0.37047597765923,90,3.0,5562,1,738,52.3,3.8,,,,42.7,13.9,,,47.7,0,47.7,96.2,0.5931,regular
Donyell Malen,donyell-malen,D. Malen,F,803039,96.8,54.2,False,goal,assisted,right-foot,low-left,0.4374458193779,83,,4943,8,457,52.0,6.3,,,,45.8,3.2,,,48.0,0,48.0,93.7,0.9489,regular
Cody Gakpo,cody-gakpo,C. Gakpo,F,862967,89.7,67.8,False,goal,assisted,right-foot,low-left,0.050827655941248,20,,1147,26,1553,53.8,8.2,,,,32.2,10.3,,,46.2,0,46.2,91.8,0.1522,regular
Marcel Sabitzer,marcel-sabitzer,M. Sabitzer,M,133908,95.7,64.8,False,goal,assisted,left-foot,high-left,0.14195601642132,80,,4795,11,605,53.1,27.2,,,,35.2,4.3,,,46.9,0,46.9,72.8,0.7979,regular
Memphis Depay,memphis-depay,M. Depay,F,138833,89.8,52.8,True,goal,assisted,right-foot,high-right,0.08907700330019,75,,4492,16,908,46.7,22.2,,,,47.2,10.2,,,53.3,0,53.3,77.8,0.8701,regular
Romano Schmid,romano-schmid,R. Schmid,M,830127,91.2,48.8,False,goal,assisted,head,low-left,0.12835247814655,59,,3510,32,1890,51.9,5.1,,,,51.2,8.8,,,48.1,0,48.1,94.9,0.1085,regular
Cody Gakpo,cody-gakpo,C. Gakpo,F,862967,88.0,63.8,True,goal,fast-break,right-foot,low-right,0.11216504126787,47,,2771,44,2629,46.5,17.1,,,,36.2,12.0,,,53.5,0,53.5,82.9,0.458,regular
Donyell Malen,donyell-malen,D. Malen,F,803039,88.2,59.3,False,goal,regular,right-foot,low-left,,6,,347,40,2353,52.6,15.2,,,,40.7,11.8,,,47.4,0,47.4,84.8,,own
Breel Embolo,breel-embolo,B. Embolo,F,352296,85.7,47.6,False,goal,regular,right-foot,low-centre,0.54523730278015,90,3.0,5560,1,740,51.6,17.1,,,,52.4,14.3,,,48.4,0,48.4,82.9,0.3399,regular
Barnabás Varga,barnabas-varga,B. Varga,F,852434,96.8,49.1,True,goal,assisted,head,low-right,0.66239815950394,66,,3924,25,1476,47.4,12.7,,,,50.9,3.2,,,52.6,0,52.6,87.3,0.9211,regular
Michel Aebischer,michel-aebischer,M. Aebischer,M,850891,77.8,58.1,False,goal,assisted,right-foot,low-right,0.056842003017664,45,,2683,1,17,45.6,8.2,,,,41.9,22.2,,,54.4,0,54.4,91.8,0.4099,regular
Kwadwo Duah,kwadwo-duah,K. Duah,F,827531,89.3,48.9,False,goal,assisted,right-foot,low-left,0.66899973154068,12,,715,34,1985,51.9,1.3,,,,51.1,10.7,,,48.1,0,48.1,98.7,0.8594,regular
Kerem Aktürkoğlu,kerem-akturkoglu,K. Aktürkoğlu,M,903324,76.6,35.0,True,goal,fast-break,right-foot,low-left,0.77895319461823,90,7.0,5790,1,510,52.5,3.2,,,,65.0,23.4,,,47.5,0,47.5,96.8,0.4793,regular
Arda Güler,arda-guler,A. Güler,M,1091116,76.2,34.8,True,goal,assisted,left-foot,high-left,0.034174051135778,65,,3895,26,1505,54.2,25.9,,,,65.2,23.8,,,45.8,0,45.8,74.1,0.5609,regular
Georges Mikautadze,mikautadze-georges,G. Mikautadze,F,1009372,91.8,41.7,False,goal,assisted,right-foot,low-right,0.32896167039871,32,,1904,14,796,46.5,1.9,,,,58.3,8.2,,,53.5,0,53.5,98.1,0.8604,regular
Mert Müldür,mert-muldur,M. Müldür,D,836683,84.3,36.8,True,goal,regular,right-foot,high-right,0.030558362603188,25,,1497,21,1203,45.9,29.1,,,,63.2,15.7,,,54.1,0,54.1,70.9,0.4184,regular
Denis Drăguş,denis-dragus,D. Drăguş,F,841199,96.3,48.8,True,goal,corner,left-foot,low-centre,0.87191200256348,57,,3386,34,2014,51.0,7.0,,,,51.2,3.7,,,49.0,0,49.0,93.0,0.8199,regular
Răzvan Marin,razvan-marin,R. Marin,M,279563,76.0,36.6,True,goal,fast-break,right-foot,low-left,0.016181398183107,53,,3144,38,2256,52.1,3.8,,,,63.4,24.0,,,47.9,0,47.9,96.2,0.1323,regular
Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,108673,78.3,40.5,True,goal,assisted,right-foot,high-left,0.023032076656818,29,,1725,17,975,52.9,33.5,,,,59.5,21.7,,,47.1,0,47.1,66.5,0.4118,regular
Kevin Csoboth,csoboth-kevin,K. Csoboth,F,879542,88.1,53.4,False,goal,assisted,right-foot,low-left,0.30972623825073,90,10.0,5973,1,327,53.8,5.7,,,,46.6,11.9,,,46.2,0,46.2,94.3,0.8418,regular
Roman Yaremchuk,roman-yaremchuk,R. Yaremchuk,F,829296,96.4,39.3,False,goal,assisted,right-foot,low-centre,0.23033227026463,80,,4745,11,655,50.6,1.9,,,,60.7,3.6,,,49.4,0,49.4,98.1,0.5946,regular
Mykola Shaparenko,shaparenko-mykola,M. Shaparenko,M,793749,89.7,54.5,False,goal,assisted,left-foot,low-left,0.22201985120773,54,,3187,37,2213,53.7,10.8,,,,45.5,10.3,,,46.3,0,46.3,89.2,0.7328,regular
Ivan Schranz,ivan-schranz,I. Schranz,F,123179,95.5,43.2,True,goal,throw-in-set-piece,head,low-left,0.22797746956348,17,,1016,29,1684,52.9,12.7,,,,56.8,4.5,,,47.1,0,47.1,87.3,0.746,regular
