player.name,player.slug,player.shortName,player.position,player.id,playerCoordinates.x,playerCoordinates.y,isHome,shotType,situation,bodyPart,goalMouthLocation,xg,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,goalMouthCoordinates.y,goalMouthCoordinates.z,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.start.x,draw.start.y,draw.block.x,draw.block.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,xgot,goalType,total_time,time_interval,is_goal,mean_xG_xGOT,diff_xG_xGOT
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,149593,29.9,38.7,True,save,assisted,right-foot,low-centre,0.012394799850881,77,0.0,4573,14,827,51.3,3.8,3.8,51.1,0.0,61.3,29.9,51.1,3.8,48.7,0,48.7,96.2,0.0517,,77.0,75-89 mins,0,0.0320473999254405,-0.039305200149119
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,149593,27.9,67.9,True,save,assisted,right-foot,low-left,0.012877105735242,73,0.0,4347,18,1053,53.5,3.2,1.5,48.2,0.0,32.1,27.9,48.2,1.5,46.5,0,46.5,96.8,0.1968,,73.0,60-74 mins,0,0.104838552867621,-0.183922894264758
Ollie Watkins,ollie-watkins,O. Watkins,F,555386,4.2,34.8,False,save,assisted,right-foot,low-right,0.097008764743805,71,0.0,4258,20,1142,47.4,8.2,3.2,62.3,0.0,65.2,4.2,62.3,3.2,52.6,0,52.6,91.8,0.4915,,71.0,60-74 mins,0,0.2942543823719025,-0.394491235256195
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,907072,22.6,68.5,True,save,corner,right-foot,high-centre,0.010288000106812,67,0.0,4018,24,1382,50.9,31.0,1.9,48.6,0.0,31.5,22.6,48.6,1.9,49.1,0,49.1,69.0,0.0644,,67.0,60-74 mins,0,0.037344000053406,-0.054111999893188
Declan Rice,declan-rice,D. Rice,M,856714,23.2,68.4,False,save,assisted,right-foot,low-centre,0.012839139439166,51,0.0,3040,40,2360,48.3,9.5,1.8,48.7,0.0,31.6,23.2,48.7,1.8,51.7,0,51.7,90.5,0.0594,,51.0,45-59 mins,0,0.036119569719583,-0.046560860560834
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,149593,23.7,33.599999999999994,True,save,assisted,right-foot,high-centre,0.015464715659618,44,0.0,2624,2,76,48.4,27.8,1.9,51.8,0.0,66.4,23.7,51.8,1.9,51.6,0,51.6,72.2,0.0898,,44.0,30-44 mins,0,0.052632357829809004,-0.074335284340382
Phil Foden,phil-foden,P. Foden,M,859765,25.4,64.0,False,save,assisted,left-foot,low-centre,0.014653063379228,41,0.0,2416,5,284,50.3,6.3,2.4,47.7,0.0,36.0,25.4,47.7,2.4,49.7,0,49.7,93.7,0.0212,,41.0,30-44 mins,0,0.017926531689614,-0.0065469366207719995
Morten Hjulmand,hjulmand-morten,M. Hjulmand,M,859917,29.3,49.3,True,goal,assisted,right-foot,low-left,0.015250303782523,34,0.0,2015,12,685,53.9,3.8,,,,50.7,29.3,,,46.1,0,46.1,96.2,0.3113,regular,34.0,30-44 mins,1,0.16327515189126152,-0.296049696217477
Jonas Wind,jonas-wind,J. Wind,F,826069,8.2,58.5,True,save,assisted,head,low-left,0.04309244826436,25,0.0,1458,21,1242,51.9,14.6,1.2,47.3,0.0,41.5,8.2,47.3,1.2,48.1,0,48.1,85.4,0.0534,,25.0,15-29 mins,0,0.04824622413218,-0.010307551735640005
Harry Kane,harry-kane,H. Kane,F,108579,6.5,49.2,False,goal,regular,left-foot,low-left,0.22699810564518,18,0.0,1039,28,1661,53.6,1.9,,,,50.8,6.5,,,46.4,0,46.4,98.1,0.9522,regular,18.0,15-29 mins,1,0.5895990528225901,-0.7252018943548201
